Resource                      GitHub URL
                              
Repository                    https://github.com/CHIRRI88/rds-deploy
                              
Landing Page                  https://chirri88.github.io/rds-deploy/
                              
Install Script (encrypted)    https://raw.githubusercontent.com/CHIRRI88/rds-deploy/main/Install-BV-Remote-Encrypted.ps1
                              
Uninstall Script (encrypted)  https://raw.githubusercontent.com/CHIRRI88/rds-deploy/main/Uninstall-BV-Remote-Encrypted.ps1
                              
Install .bat                  https://github.com/CHIRRI88/rds-deploy/releases/download/v1.0/Install-BV-Remote.bat
                              
Uninstall .bat                https://github.com/CHIRRI88/rds-deploy/releases/download/v1.0/Uninstall-BV-Remote.bat
                              
Icon 1                        https://raw.githubusercontent.com/CHIRRI88/rds-deploy/main/BV-Server1.ico
                              
Icon 2                        https://raw.githubusercontent.com/CHIRRI88/rds-deploy/main/BV-Server2.ico
